1girl,女の子
fixed-point camera,定点カメラ
dualsense,デュアルセンス
rabbit choker,バニーチョーカー
kissing shoulder,肩のキス
november,11月
legs on table,テーブルの脚
jammers,ジャマー
gibson flying v,フライングV
charisma guard,カリスマガード
yuzu bath,ゆず湯
supreme (brand),シュプリーム
balletcore,バレエコア
covered armpit,透け腋
splat dualies (splatoon),スプラマニューバー
mini shako cap,ミニシャコキャップ
sega dreamcast,ドリームキャスト
finger wagging,指がぐらぐら
sports sunglasses,スポーツサングラス
apple tree,林檎の木
interrupted,中断
normin (tales),ノルミン（物語）
thaumiel (zenless zone zero),塔乌弥尔
hip hop,ヒップホップ
facial expression training,表情練習用
hair blush,髪の赤面
roseate desire (e.g.o),桃色契约
blue whale,シロナガスクジラ
oarfish,リュウグウノツカイ
tv show,エロバラエティ
body chain,ボディチェーン
restroom symbol,トイレシンボル
segway,セグウェイ
ballroom,ボールルーム
red bean paste,あんこ
coin flip,コイントス
mischievous straight uniform (blue archive),イタズラ☆ストレート
pencil behind ear,耳の後ろの鉛筆
bad vulva,悪い外陰
husband and wives,夫と妻
luchador,ルチャドール
severed leg,切断された脚
rabbit earmuffs,バニーイヤーマフ
ribbed swimsuit,リブ付き水着
jirou (ramen),ラーメン二郎
convention greeting,コンベンションの挨拶
writing on wall,壁に書く
av idol,AVアイドル
file cabinet,ファイルキャビネット
energy tank,E缶
chopsticks in mouth,口の中の箸
mandala,曼荼羅
lasso of truth,真実のラッソ
pearl anklet,パールアンクレット
non-pubic inmon,淫紋
flandre day,7月4日はフランの日
space habitat,スペースコロニー
sabotaged condom,穴あきゴム
yato (fire emblem),夜刀神(FEif)
kashiwa mochi (food),かしわ餅
garnet rod,ガーネット・ロッド
vulcan salute,バルカンの敬礼
polka dot innertube,Polka Dot Innertube
opposing sides,对立双方
rebar,鉄筋
fatal fury cap,致命的なフューリーキャップ
solar system,太陽系
backstage,舞台袖
happy easter,イースター、おめでとう
masturbating while watching,見ている間自慰行為
japanese national soccer team uniform,サッカー日本代表
pink moon,ピンクの月
caveman,原始人
666,666
liyue harbor,璃月港
kashima (kancolle) (cosplay),カシマ（カンコル）（コスプレ）
doubledriver,ダブルドライバー
march,3月
ironwork,鉄工
fusion swords,融合剣
pencil mustache,鉛筆口ひげ
marching,マーチング
scout movement,ボーイスカウト
yellow suit,黄色のスーツ
motteke! serafuku,もってけ!セーラーふく
gangster,ギャングスター
holding mistletoe,ヤドリギを保持します
helping,助ける
justice task force (blue archive),正義実現委員会
zongzi,ちまき
kicking viewer,視聴者を蹴る
double bikini,ダブルビキニ
adjusting collar,カラーの調整
vietnam war,ベトナム戦争
tribadism through clothes,服を通してトライバディズム
nissin donbei,どん兵衛
marley military uniform,マーリー軍服
wing hug,翼の抱擁
mini cooper,ミニ
harukawa moe (style),春河もえ
holding pill,丸薬を持っています
sanitized (splatoon),消毒
human (warcraft),人間（warcraft）
all-out attack,総攻撃チャンス
sumi-e,墨絵
christmas cake,クリスマスケーキ
stuck in the past,走るジェネレーションギャップ
skorpion vz. 61,Skorpion VZ。 61
he wants to order (meme),彼は注文したい（ミーム）
broken heart print,傷ついたハートプリント
snail girl,カタツムリ娘
rebreather,レブラー
super famicom controller,スーパーファミコムゲームパッド
zebra girl,ゼブラガール
weather vane,風見鶏
hand on sheath,シースに手をかけます
work gloves,軍手
cum swap,兼スワップ
jerry can,ジェリカン
hand on belt,ベルトの上の手
donkey,ロバ
pitfall,落とし穴
shitty t-shirt naval base,クソT鎮守府
dinosaur hood,恐竜フッド
pug,パグ
seraphim (one piece),セラフィム(ONEPIECE)
shikai no sumi kuchiru oto,視界の隅_朽ちる音
lounging,ラウンジ
rabbit ear legwear,バニーイヤーレッグウェア
guillotine,ギロチン
fujimaru ritsuka (female) (cosplay),藤原ritsuka（女性）（コスプレ）
colored armpit hair,色付きの脇の下の髪
spyglass,海盗望远镜
sleeve tied shut,绑紧的袖子
porsche 911,ポルシェ911
burger hair ornament,ハンバーガーの髪の飾り
dealer (gambling),ディーラー
super saiyan god,超サイヤ人ゴッド
coaster,コースター
cigarette holder,シガレット・ホルダー
alstroemeria (idolmaster),アルストロエメリア（アイドルマスター）
mitsukoshi (department store),三越
carro veloce cv-33,Carro Veloce CV-33
chullo,チュージョ
shinto,神道
sword mastery academy school uniform,ソードマスタリーアカデミーユニフォーム
leo/need (project sekai),レオニ
fat joke,太った冗談
legs behind head,頭の後ろの足
menstruation,生理
glasses day,メガネの日
aqua pubic hair,アクア陰毛
coughing blood,喀血
broom surfing,立ち乗り
swiss cheese,スイスチーズ
golden wings,黄金の翼
konpaku youmu (cosplay),Konpaku Youmu（コスプレ）
standing leg lock,站立腿锁
toy train,おもちゃの列車
vertical-striped bow,垂直縞模様の弓
bikini bottom lift,掀起比基尼下衣
sari,サリー
frost,しも
ultraviolet light,紫外線
closing door,ドアを閉める
windshield,フロントガラス
pink suit,ピンクのスーツ
clawed boots,クローズドブーツ
giant mushroom,大きな茸
juggling club,ジャグリングクラブ
cum on figure,フィギュアぶっかけ
gunshot wound,銃創
antelope horns,羚羊角
sword in head,頭の中の剣
bouncing hair,髪を跳ねます
electronic cigarette,ベイプ
soul patch,魂のパッチ
cosmic heart compact,コズミックハートコンパクト
purple nightgown,紫色のナイトガウン
autopaizuri,セルフパイズリ
magic circuit,魔術回路
january,1月
dildo harness,ディルドハーネス
sidecar,サイドカー
brushing another's teeth,歯磨きプレイ
octavinelle dorm,オクタヴィネル寮
tinsel,ティンセル
frilled bowtie,フリルボウタイ
ultramarines,スペースマリーン
grey umbrella,灰色の傘
soap dispenser,石鹸ディスペンサー
fan speaking,ワレワレハウチュウジンダ
no scarf,スカーフはありません
adjusting bowtie,ボウタイの調整
playstation 1,プレイステーション
koto (instrument),コト（楽器）
ice cream crepe,アイスクリームクレープ
shockwave,衝撃波
triangle choke,三角絞め
goldfish print,金魚のプリント
3;,3;
removing bra under shirt,シャツの下でブラジャーを取り外します
akg k-series headphones,K701
rem (re:zero) (cosplay),rem（re：zero）（コスプレ）
bandaid on breast,乳房のバンダイド
bikkuriman (style),ビックリマン風
handcuff dangle,手錠のぶら下がり
the fool (tarot),愚者(塔罗牌)
stable,厩舎
bad gun anatomy,悪い銃の解剖学
roubai academy school uniform (old),ルバイアカデミースクールユニフォーム（古い）
jockey,ジョッキー
growling,うなり声
nibbling,ニブリング
gummy bear,くまグミ
lazulight,lazulight
snow sculpture,雪像
flags of all nations,万国旗
ice type theme (pokemon),こおりタイプ
chinchilla girl,チンチラガール
wet fundoshi,ウェットファンドシ
nail clippers,爪切り
riding boots,乗馬ブーツ
vertical-striped one-piece swimsuit,垂直縞模様の水着
master dojo uniform,マスター・ドジョのユニフォーム
horse mask,馬マスク
aqua tank top,アクアタンクトップ
swiss flag,スイスの国旗
glass bowl,ガラスのボウル
spoon hair ornament,スプーンの髪の飾り
novum chaldea,ノウム・カルデア
nobiiru arm,のびーるアーム
nissan fairlady z,フェアレディz
vertical-striped apron,垂直縞模様のエプロン
fn scar 17,fn scar 17
february,2月
gas cylinder,ボンベ
cum on gloves,手袋に精液
open cockpit,オープンコックピット
seminar (blue archive),セミナー(ブルーアーカイブ)
stuffed duck,ぬいぐるみ
frilled innertube,フリルインチューブ
sitting on wall,壁に座っています
five of hearts,5つの心
apron pull,エプロンプル
woollen cap,ウールキャップ
rokku gyaru,ロックギャル
box stack,ボックススタック
masturbating together,同时自慰
amos' bow (genshin impact),アモスの弓
ze (phrase),ぜ
ten of hearts,10の心
bearhug,ベアハッグ
ebony & ivory,エボニー&アイボリー
print capelet,カペレットを印刷します
semi-transparent,半透明
military jeep,ジープ
sailor one-piece swimsuit,セーラーワンピース水着
cellphone strap,携帯ストラップ
paparazzi,パパラッチ
thief,シーフ
mercury symbol,水銀シンボル
reporter,リポーター
king of spades,スペードのK
g-spot stimulation,Gスポット
rider kick,ライダーキック
hat basket,帽子バスケット
imminent vore,差し迫ったつがみ
bandaged ear,包帯耳
striped capelet,縞模様のカペレット
envy,羡慕
objection,異議あり!
akg,Akg
planted polearm,槍の植えられた槍
bloom festival (project sekai),ブルームフェス
cum on testicles,test丸の精液
coal,石炭
checkered pillow,市松模様の枕
no vest,ベストはありません
street snap,ストリートスナップ
macaw,コンゴウインコ
meerkat tail,Meerkat Tail
carving,彫る
sewer,下水道
in cell,セルで
apocalypse,黙示録
staple,主食
hitbox,当たり判定
can to cheek,頬にできます
brown jumpsuit,茶色のジャンプスーツ
dojo,道場
brown pajamas,茶色のパジャマ
elevation contour lines,等高线
single tooth,単一の歯
team skull uniform,チームスカルユニフォーム
bousouzoku,ぼうそうぞく
tube top lift,チューブトップリフト
aether foundation uniform,エーテルファンデーションユニフォーム
security guard,警備員
catheter,カテーテル
grey scrunchie,灰色のシュシュ
italian flag print,イタリアの旗印刷
pantyhose tug,パンストのタグ
too many scoops,スクープが多すぎます
holding cd,CDを保持しています
anti-demon corps uniform,魔防隊の制服
national verbena academy school uniform,国立バーベナ学園
piggy bank,貯金箱
cirno (cosplay),Cirno（コスプレ）
gunkanmaki,軍艦巻
doqute stuffed doll,どきゅーと
lemon earrings,レモンイヤリング
the lovers (tarot),恋人(タロット)
cafeteria,食堂
sefirot,セフィロト
stroller,ベビーカー
hand to hand,手から手から
wolf's gravestone (genshin impact),狼的末路
camouflage scarf,カモフラージュスカーフ
ribbon-trimmed shorts,リボントリミングされたショートパンツ
water wheel,水車
blowing in ear,耳に吹く
uncomfortable,気まずい
dango milk (genshin impact),团子牛奶
mouth beam,口からビーム
post and rail fence,ポストとレールフェンス
wet jacket,ウェットジャケット
scorpion girl,ギルタブリル
prostate massager,エネマグラ
galactic empire (star wars),銀河帝国(STARWARS)
fare gate,改札口
martini,マティーニ
cooperative buttjob,W尻コキ
counting,数える
panzerfaust,パンツァーファウスト
london,ロンドン
palutena bow (kid icarus),パルテナの神弓
pearl clan outfit,真珠一族の衣装
backflip,後方宙返り
b3 wingman,B3ウィングマン
landing gear,着陸装置
jungle gym,ジャングルジム
crisis moon compact,クライシスムーンコンパクト
toy sword,おもちゃの剣
kissing ear,耳にキス
gas can,燃料容器
polka dot kimono,ポルカドット着物
pill in mouth,舌のピル
holding water,水を保持します
bath of blood,血風呂
kelp,昆布
m134 minigun,M134ミニガン
brown leggings,茶色のレギンス
ptsd,トラウマ
hilt,柄
abduction,アブダクション
glance,一目
you gonna get eaten,あなたは食べるつもりです
mayonnaise bottle,マヨネーズボトル
fish hat,魚の帽子
appmon,アプモン
luigi (cosplay),ルイージ（コスプレ）
top-load washing machine,波轮洗衣机
defy (girls' frontline),反逆小隊
no anus,肛門はありません
maboroshi no ginzuishou,幻の銀水晶
fire axe,消防斧
mjolnir (marvel),ムジョルニア
sneaking suit,こっそりスーツ
stuffed cow,ぬいぐるみ
glacier,氷河
missing poster,ポスターがありません
hug and suck,腰抱きフェラ
thumb (identity) (project moon),親指(ProjectMoon)
dancer's costume (dq),踊り子の服
raised fists,拳を上げた
clothes-dissolving potion,服だけを溶かす薬
stalagmite,石笋
kujo jotaro (cosplay),Kujo Jotaro（コスプレ）
zonai,ゾナウ
union jack print,ユニオンジャックプリント
gambol shroud,Gambolシュラウド
hose nozzle,ホースノズル
chinese spoon,レンゲ(食器)
bucket of chicken,オリジナルチキン
megastructure,メガストラクチャー
colored tears,色付きの涙
toad (animal),ヒキガエル
eiserne jungfrau,Eiserne Jungfrau
see-through shorts,シースルーショーツ
multishot rocket launcher,マルチショットロケットランチャー
sand writing,砂遊び
hot sauce,ホットソース
spiked,スパイク
avocado,わになし
two of spades,2つのスペード
menstrual pad,ナプキン
fox hood,フォックスフード
extreme dangling,極端なぶら下がり
ankle gun,足首の銃
kiss chart,キスチャート
sanbaka anniversary outfit,アンジュ・カトリーナ(さんばか新衣装)
revealing tanlines,Tanlinesを明らかにします
behind tree,木の後ろ
brown male underwear,茶色の雄の下着
holding wig,かつらを保持します
hole in face,顔の穴
gold one-piece swimsuit,金色水着
tuba,チューバ
three of hearts,3つの心
public bondage,公共の束縛
love handles,浮き輪肉
imminent hand holding,差し迫った手持ち
applying gag,ギャグを適用します
master crown,マスタークラウン
swinging legs,足を振る
tracen academy,トレセン学園
against mirror,鏡に対して
bandaid on clothes,服のバンダイド
september,9月
more more jump! (project sekai),モモジャン
umeboshi,梅干し
mandalorian,マンダロリアン
holding belt,保持ベルト
fourth of july,7月4日
earplugs,耳栓
dollhouse view,ドールハウスビュー
throne room,謁見室
doorbell,ドアベル
elbow cutout,肘の切り抜き
omnitrix,Omnitrix
kiki (majo no takkyuubin) (cosplay),kiki（majo no takkyuubin）（コスプレ）
hanging food,ぶら下がっている食べ物
hatsuyume,初夢
star rod,スターロッド
loose pants,ゆったりとしたズボン
hurdle,ハードル
dashing,威勢のいい
hover hand,ホバーハンド
majo shuukai de aimashou,魔女集会で会いましょう
sea serpent,シーサーペント
crushed can,押しつぶされた缶
unraveling,解明
weapon on floor,床に武器
dotera (clothes),どてら
unbuttoned sleeves,ボタンのない袖
hadouken,波動拳
ominous shadow,不吉な影
cz 75,CZ-75
ranunculus,ラナンキュラス
jellyfish hair ornament,クラゲの髪の飾り
grappling hook,グラップリングフック
switch,スイッチ
shotajiji,ショタジジイ
m16a2,コルト・カナダC7
broken ground,壊れた地面
katori (kancolle) (cosplay),香取の服
clitoris tweak,捏阴蒂
anal ball wear,Aストリングス
vasavi shakti (fate),日輪よ、死に随え
lahti-saloranta m/26,サロランタ軽機関銃
bullet necklace,弾丸ネックレス
volkswagen beetle,フォルクスワーゲン・タイプ1
fox print,フォックスプリント
trench,塹壕
distracted boyfriend (meme),気を散らす彼氏（ミーム）
inarizushi,いなり寿司
nanahyakuichi middle school uniform,公立七百一中学校制服
eyewear view,眼镜视图
kama (weapon),鎌
monkey mask,モンキーマスク
kotori photobomb,生えてくることり
yonic symbol,ヨニックシンボル
behind curtains,在窗帘后面
paperwork,じむしょり
leather bikini,革のビキニ
metal mask,鉄仮面
paizuri day,パイズリの日
chopstick rest,箸置き
dress in mouth,嘴里含着连衣裙
misty lake,霧の湖
tohsaka rin (cosplay),Tohsaka Rin（コスプレ）
handbell,ハンドベル
mourning,喪
man face,男の顔
areola piercing,areola Piercing
carp,フナ
joint (drug),共同（薬物）
group profile,グループプロファイル
piper perri surrounded (meme),パイパー・ペリー
pachinko,パチンコ
ventilation shaft,換気シャフト
delusion (genshin impact),邪眼
indonesian flag,インドネシアの国旗
ko~n,こーん
tsab naval military uniform,TSAB海軍の軍服
heavy splatling (splatoon),バレルスピナー
inazuma japan,イナズマジャパン
two of hearts,二つの心
cookie hair ornament,クッキーの髪の飾り
mouth guard,マウスガード
imminent punch,差し迫ったパンチ
cinnamon roll,肉桂卷
silver nails,シルバーネイル
reunion logo (arknights),再会ロゴ（arknights）
see-through towel,透けタオル
business card,名刺
shampoo hat,シャンプーハット
speed limit sign,最高速度
ocean sunfish,マンボウ
bra on head,ブラミミモード
uchuu kei,宇宙系
anglerfish costume,あんこうスーツ
no nut november,ナッツはありません。11月はありません
tri-stringer (splatoon),トライストリンガー
true crime,不謹慎
furnace,かまど
quality,ヤシガニ
bikini bridge,ビキニブリッジ
miyamori school uniform,ミヤモリ学校のユニフォーム
walther p38,ワルサーP38
scientific name,学名
winged hairband,翼のあるヘアバンド
forced partners,強制パートナー
object behind ear,耳の後ろ
reincarnation,生まれ変わり
lamellar armor,ラメラアーマー
kjerag logo,谢拉格标志
reindeer hood,トナカイフッド
jk gumi (nijisanji),にじさんじJK組
javelin (spear),やり投げ
revealing chastity cage,貞操帯
pedophile,小児性愛者
slimification,スライム化
thinking emoji,絵文字を考えています
airplane arms,ブーン
bad reflection,悪い反射
communism,赤いpixiv
power drill,パワードリル
daito academy school uniform,大東学院
purple mittens,紫のミトン
adjusting mask,マスクの調整
biting hair,髪を噛む
double bowtie,二層ボウタイ
heijou institute school uniform,hejou Institute学校の制服
official cosplay,公式コスプレ
shikai,始解
tree print,ツリープリント
shaving cream,シェービングクリーム
bright background,明亮的背景
tank cupola,キューポラ
too many rabbits,ウサギが多すぎます
target practice,射撃練習
microscope,けんびきょう
submarine sandwich,潜水艦サンドイッチ
akira slide,金田スライドブレーキ
antelope ears,アンテロープの耳
organ (instrument),オルガン
wax play,ろうそくプレイ
narcissism,ナルシスト
seafood,シーフード
hot drink,ホットドリンク
argentinian flag,アルゼンチンの国旗
wing censor,翼検閲
umaibou,うまい棒
rondel,ロンデル
zhouzi jin (headwear),周子巾
m1 helmet,M1ヘルメット
ragfes,ラグフェス
vertical-striped leotard,垂直縞模様のレオタード
azalea (flower),つつじ
egg implantation,産み付け
f-14 tomcat,トムキャット
brushing,ブラッシング
yotsubato! pose,ヨツバト！ポーズ
black rope,黒いロープ
asacoco,あさココ
haagen-dazs,ハーゲンダッツ
mikan box,みかん箱
steyr aug,ステアーAUG
sideways perpendicular paizuri,横乳ズリ
finnish flag,フィンランドの国旗
humpback whale,ザトウクジラ
sword clash,鍔迫り合い
your present is me,プレゼントは私
headwear writing,帽子の執筆
shima (pattern),島（パターン）
leotard lift,レオタードリフト
vortex vanquisher (genshin impact),贯虹之槊
crest worm,刻印虫
photocopier,コピー機
revenge,復讐
squat (exercise),スクワット
construction worker,建設労働者
mechanical gloves,メカニカルグローブ
archer (fate) (cosplay),アーチャーコス凛
p-chan (p90),P-chan（P-90）
ei ei mun!,えい、えい、むん!
stitched fingers,縫い付けられた指
body modification,肉体改造
holding turret,タレットを保持します
seeing stars,ピヨる
sweden,スウェーデン
kissing stomach,胃にキス
self milking,挤奶
momotsuki gakuen school uniform,桃村ガクエン学校のユニフォーム
hand over heart,心を渡します
youtube creator award,YouTube Creator Award
aozora middle school uniform,あおぞら中学校
cygnus (constellation),はくちょう座
squirrel boy,リスボーイ
squirting liquid,液体を潮吹き
red sheet,赤いシート
kiryuuin satsuki (cosplay),Kiryuuin Satsuki（コスプレ）
kagamine len (cosplay),カガミン・レン（コスプレ）
toy packaging,フィギュア箱
petroleum,石油
sweater under jacket,ジャケットの下のセーター
knee cutout,膝の切り抜き
orca hair ornament,Orca Hair Ornament
shiny pantyhose,光沢のあるパンスト
menpu,面布
bowling,ボウリング
domino high school uniform,ドミノ高校のユニフォーム
public urination,公共の排尿
katsudon (food),カツ丼
nail biting,爪噛み
cross-species cosplay,クロス種のコスプレ
camping chair,キャンプチェア
torn hoodie,引き裂かれたパーカー
fan to mouth,扇子靠嘴巴上
japan-korea yuri (meme),日韓百合
servant card (fate/grand order),セイントグラフ
ars almadel salomonis (fate),アルス・アルマデル・サロモニス
carnivorous plant,食虫植物
florida bikini,フロリダビキニ
tobacco,たばこ
unworn hoodie,パーカーが削除されました
rescue,救援
false arm,偽の腕
mustard bottle,マスタードボトル
unworn apron,エプロンが削除されました
convenient head,便利な頭
molotov cocktail,モロトフカクテル
stone tablet,石版
lich,リッチ(アンデッド)
erdtree (elden ring),エルドリー（エルデンリング）
fox platoon (blue archive),FOX小队
fake nose,偽の鼻
food-themed bag,食べ物をテーマにしたバッグ
luftwaffe,ルフトヴァッフェ
pump,ポンプ
tiger ii,ティーガーII
shed,小屋
pokemon rgby (style),ポケモンRGBY（スタイル）
adapted object,適応オブジェクト
food on hair,髪の毛の食べ物
retaining wall,保持壁
asics,ASICS
marine day,海の日
blue gakuran,青ラン
hazard stripes,ハザードストライプ
hiroshimaben,広島弁
horosho,ハラショー
flower facial mark,フラワーフェイシャルマーク
;/,;/
penis and testicles touching,玉ズリ
implied penetration,暗黙の侵入
takeout container,テイクアウトコンテナ
ice flower,氷の花
tonsure,トンスラ
elucidator,エリュシデータ
large belt,大きなベルト
arms on head,頭の腕
cutlery,カトラリー
scarf on head,頭のスカーフ
biting penis,ペニス噛む
jojifuku,大人なのに女児服着てる
waking another,目覚まし
lungmen dollar,龍門幣
dodge (company),ダッジ
painttool sai,ペイントツールサイ
moon uniform (houseki no kuni),月のユニフォーム（houseki no kuni）
pointed footwear,尖った履物
herringbone,ヘリンボーン
chihuahua,チワワ
dialogue,字幕
fig sign,女握り
leaning against motorcycle,靠在摩托车上
feather-trimmed gloves,羽毛の手袋
imp,小悪魔
cheri berry,クラボのみ
three section staff,三節棍
forehead flick,デコピン
cum on headwear,帽子の中出し
snow shovel,雪かき
post guild war celebration,古戦場おつかれさまでした
sale,セール
konnyaku (food),こんにゃく
team yell,エール団
ryoubu torii,両部鳥居
walfie (style),ウォルフィー（スタイル）
kamura (armor),カムラ（鎧）
navel insertion,へそ挿入
green screen,グリーンバック
rally car,ラリーカー
spread eagle position,大の字
quadcopter,Quadcopter
hat writing,帽子の書き込み
racism,じんしゅさべつ
lightning background,稲妻の背景
blackletter,ブラックレター
male swimwear pull,男性の水着の引っ張り
rocking horse,木馬
argyle coat,アーガイルコート
nuclear weapon,地球はかい爆弾
american football helmet,アメリカンフットボールヘルメット
heisei,平成
mazda mx-5,ロードスター
throwing poke ball,ポークボールを投げる
1-up mushroom,1UPキノコ
venice,ベニス
kakizome,書き初め
spoon straw,スプーンストロー
rowan,ローワン
pineapple print,パイナップル柄
eevee ears,Eevee Ears
storm cloud,ストームクラウド
japanese cylindrical postbox,丸型ポスト
anchor tattoo,アンカータトゥー
acrylic stand (object),アクリルスタンド(アイテム)
ear sex,耳姦
zunda mochi,ずんだ餅
white gakuran,白ラン
herb bundle,ハーブバンドル
skinny jeans,スキニージーンズ
spider-man (cosplay),スパイダーマン（コスプレ）
tarpaulin,ターポリン
red stone of aja,エイジャの赤石
gardevoir day,サーナイトの日
glowing armor,輝く鎧
jason voorhees (cosplay),ジェイソンボーヒーズ（コスプレ）
brushing tail,テールブラッシング
head on another's stomach,他の人のお腹に向かいます
reality arc (sinoalice),リアリティアーク（シノアリス）
red circle,赤い円
instant ramen,インスタントラーメン
sailing,セーリング
zarei,三つ指
yellow male swimwear,黄色の雄の水着
heart-shaped cake,ハート型のケーキ
iceberg,氷山
chocolate on legs,足のチョコレート
cross (weapon),クロス（武器）
501st joint fighter wing,第501統合戦闘航空団
button prompt,ボタンプロンプト
mystic eyes of enchantment,魅了の魔眼
in pot,ポットで
bat earrings,コウモリのイヤリング
shouting with hands,手で叫ぶ
violin case,バイオリンケース
garden of the sun,太陽の畑
large forehead,大きな額
tsuka-ito,柄糸
palette knife,パレットナイフ
confessional,告解室
springsuit,スプリングスーツ
igloo,イグルー
swordfish,カジキ
top of moe 2019,MOE2019
nonstandard furigana,義訓
quadruple wielding,4倍の振る舞い
bound leg,バウンドレッグ
sign language,手話
ganbare ganbare (itou life),がんばれ♥がんばれ♥
drawstring bag,ドローストリングバッグ
holding bandaid,バンダイドを保持します
spain,スペイン
lifestream,ライフストリーム
open magazine,オープンマガジン
open hatch,ハッチを開きます
cure black (cosplay),Cure Black（コスプレ）
shindouji school uniform,Shindouji School Uniform
see-through sports bra,透视运动胸罩
skirt under kimono,着物の下のスカート
artist painter,画家
centipede girl,ムカデ娘
hamster costume,ハムスターコスチューム
looking at pussy,猫を見ています
double ok sign,ダブルOKサイン
rolling sleeves up,ローリングスリーブアップ
tamandua ears,タマンドゥアの耳
hands on own crotch,双手放在自己的裆部
diving regulator,レギュレーター
male prostitution,男娼
bound feet,バインドされた足
tachihanabishi,立ち花菱
mexican standoff,メキシコのスタンドオフ
glowing headgear,輝くヘッドギア
mating (animal),交尾
expandable baton,特殊警棒
wooden tray,木製のトレイ
biscuit (bread),ビスケット
duck hair ornament,アヒルの髪の飾り
felicia (darkstalkers) (cosplay),フェリシアコス
biting breast,豊胸
dango hair ornament,ダンゴの髪の飾り
milk tea,ミルクティー
holding stomach,胃を抱きます
no-show socks,船袜
gym teacher,体育の先生
black rock shooter (character) (cosplay),ブラックロックシューター（キャラクター）（コスプレ）
nemes,Nemes
fez hat,フェズ帽
neck bobbles,首が丸くなっています
m1918 bar,M1918バー
moose tail,ムースの尾
disembodied tongue,离体舌头
playboy bunny swimsuit,水着バニー
spotted tail,斑点のある尾
moonlight greatsword,月光の大剣
umbilical cord,へその緒
cutout below navel,へその下の切り抜き
testicles on face,睾丸贴在脸上
print towel,タオルを印刷します
bedwetting,おねしょ
washing hands,手を洗う
gamecube controller,ゲームキューブコントローラー
circuit board print,回路基板プリント
mismatched irises,非対称虹彩
leg holster,枪套(腿部)
myoudou gakuen high school uniform,Myoudou Gakuen High Schoolの制服
prisma illya (cosplay),イリヤズム
manila envelope,档案袋
kissing back,キスバック
bongo cat (meme),コンパス式いいねとリツイートをする奴ら
taiko sticks,ばち
grass skirt,腰みの
totoro bus stop,トトロバス停
fairy (girls' frontline),妖精(ドールズフロントライン)
sand dune,砂丘
blood on axe,xの血
tied dress,縛られたドレス
smash ball,スマッシュボール
shared coat,共有コート
tank interior,タンクインテリア
japanese saw,横挽き
melon slice,メロンスライス
florakinesis,木属性
multiple wielding,複数の振動
cat tower,キャットタワー
datemaki (food),伊達巻
carry me,抱っこ
knee spikes,膝のスパイク
roman empire,ローマ帝国
bleachers,観覧席
pumpkin on head,頭にカボチャ
axe kick,踵落とし
2000,2000年
standard manufacturing dp-12,シューティング☆スター
satin dress,サテンドレス
ledge,棚
age conscious,年齢を意識しています
mole on areola,乳晕痣
cum on object,オブジェクトの中出し
carcano,カルカノM1938
father's day,父の日
wasteland,荒野
educational,教育
magic school uniform (mahou girls precure!),魔法学校(プリキュア)
adjusting bow,弓の調整
torn apron,引き裂かれたエプロン
ots-14 groza,グローザ
lever,レバー
pie in face,パイ投げ
chocolate on foot,足チョコ
kaine (nier) (cosplay),Kaine（nier）（コスプレ）
imminent breast grab,差し迫った乳房グラブ
m203,M203
dial,指針面
brown bandeau,ブラウンバンドー
fur armlet,ファーアームレット
sticky,ネバネバ
pretty waitress (idolmaster),プリティウェイトレス
removing coat,コートを取り外します
queen of spades (playing card),スペードのクイーン
kaneda shoutarou's bike,金田のバイク
vibrator on clitoris,阴蒂上的震动器
lichtenberg figure,リヒテンベルク図形
ice horns,アイスホーン
adobe photoshop,フォトショップ
daewoo k2,K2突擊步槍
script,台本
pixels,ピクセル
youkai watch (object),Youkai Watch（オブジェクト）
pee pad,ペット用シート
frozen lake,凍った湖
flying car,空飛ぶ車
in pocket,ポケットに
cloud strife (cosplay),クラウドストライフ（コスプレ）
rabbit symbol,バニーシンボル
king of hearts (playing card),キングオブハーツ（カード）
xtransceiver,ライブキャスター
male pregnancy,妊夫
conifer,針葉樹
pamphlet,パンフレット
laser rifle,レーザーライフル
sheriff (western),保安官
heart out of chest,胸から心臓
hands under legs,足の下の手
tying necktie,タイを結ぶ
glass pen,ガラスペン
negative space oral (meme),SFWイラスト
tractor beam,トラクタービーム
in jar,瓶で
pretzel pose,プレッツェルポーズ
honey dipper,ハニーディッパー
teeth print,歯の印刷
open sign,オープンサイン
invincible candy,無敵キャンディー
kitchen hood,キッチンフード
mighty sailor,マイティセーラーズ
dropkick,ドロップキック
venus (planet),金星
studded armlet,スタッドアームレット
leaking,漏れ
snubnosed revolver,スナブノーズ
leggings pull,レギンスが引っ張る
minecart,トロッコ
trypophobia,蓮コラ
twinmyniad (fate),Twinmyniad（運命）
swimsuit costume,水着のコスチューム
supportasse,サポートスース
backbend,海老反り
make a contract,僕と契約して、魔法少女になってよ
noble phantasm (fate),宝具
3rd live tour try tri unity!!!,蓮ノ空3rd
polka dot umbrella,ポルカドット傘
shinjuku (tokyo),新宿
playstation 3,プレイステーション3
makarov pm,マカロフPM
bandaid on ass,お尻のバンダイド
lumine (genshin impact) (cosplay),ルミン（Genshin Impact）（コスプレ）
single inverted nipple,単一の逆乳首
java sparrow,ブンチョウ
vibrator on penis,阴茎上的震动器
ponification,ポニー化
american flag pants,アメリカンフラッグパンツ
unworn earring,イヤリングが削除されました
sardine,サーディン
pendulum clock,振り子時計
dual arm cannons,アームキャノン
droid,ドロイド
hiking,アウトドア
