hatsune miku,初音ミク
taiyo akari,太陽アカリ
aoba anoa,空羽亜乃亜
baek changpo,ペク・チャンポ
herikawa koishi,ヘレカワ・コイシ
iscan (pokemon),ススキ
kawamoto momo,川本モモ
kazamatsuri kazari,風祭かざり
fujieda honami,藤田名誉
suzushiro mizuki,Suzushiro Mizuki
takasu yasuko,高須泰子
hasebe yutaka,長谷ルシ
anfang (chihuri),アンファン（チフリ）
himeka chiyako,姫歌千夜子
sasahara satsuki,笹原さつき
ihara saeko,イハラ・ソーコ
iroha (rune factory),いろは(ルーンファクトリー)
battle magician (elsword),バトルマジシャン（エルワード）
adilisia lenn mathers,アディリシア・レン・メイザース
yuneri (azuki akizuki),ユネリ
catherine (granblue fantasy),キャサリン
officer mewmew,にゃんきち長官
seruel,セルエル
scp-076-2,SCP-076-2
aojiru (yume 2kki),青汁
hatsune miku (pierretta),ピエレッタ
tanaka yoshitake,田中ヨシタケ
donnel (fire emblem),ドニ
malzahar (league),マルザハル
air shakur (belphegor's prime) (umamusume),フェアウェルを継ぎ接いで
nishimura konomi,西村このみ
gouden leeuw (an intimate cleaning) (azur lane),慈愛の清め合いっこ
maine (cyberpunk),曼因
freddie mercury,フレディ・マーキュリー
nobi tamako,のび太のママ
portsmouth adventure (azur lane),ポーツマウス・アドベンチャー(アズールレーン)
avocaboo (zenless zone zero),アボカドボンプ
momo (zephyr) (infinity nikki),モモのマント・清風
nakayama festa (festival game) (umamusume),祝祭遊戯
aoba shigeru,青葉シゲル
bonnie barkswell,ボニー・バークスウェル
broom hatter,ブルームハッター
scarlet (fire emblem),クリムゾン(FEif)
coyote starrk,コヨーテ・スターク
mofukoyo (hakui koyori),もふこよ
miss pauling,ミス・ポーリング
suzumiya suzume,雀宮すずめ
shiren (fuurai no shiren),Shiren（Fuurai no shiren）
exs-slave alpha,黒翼隷姫エクスレイヴ-α
nagachichi chika idol-chan (yue (show-ei)),長乳地下アイドルちゃん
katen kyoukotsu,花天狂骨
furen e lustario (7th costume),フレン・E・ルスタリオ(チャイナ)
gustav karl,グスタフ・カール
kaling,カリーン
liz hawkwood,リズ・ホークウッド
mega emboar,メガエンブオー
kanehira ame,金平あめ
commerson's dolphin (kemono friends),イロワケイルカ(けものフレンズ)
asakura maina,朝倉まいな
sugita doryouku,杉田努力
l'audacieux (azur lane),ローダシュー(アズールレーン)
lucatiel of mirrah,ミラのルカティエル
ginjo saine,銀城サイネ
amagi (cv) (throne of fallen petals) (azur lane),玉座落鸞
thor (toaru majutsu no index),TOR（Toaru Majutsu No Index）
wang lifen,王莉芬
natsume shizuku,夏目雫
imibi (zizi niisan),忌火
interceptor (ff6),インターセプター
konno yuuki (sao),こんのゆうき
qanipalaat (arknights),カニパラート(アークナイツ)
kai (rune factory),カイ(ルーンファクトリー)
m4a1 (suspender of time) (girls' frontline),M4A1（時間のサスペンダー）（女の子の最前線）
chitose haruki,千歳春樹
37 (happy bird catcher) (reverse:1999),37(快乐的捕鸟人)
tifa lockhart (feather style),フェザースタイル
shiina ringo,椎名林檎
yuzuriha (etra-chan wa mita!),ユズリハ(エトラちゃんは見た!)
yamai ren,山井恋
eika (strinova),艾卡
bogatyr (azur lane),ボガトィーリ
reimu endou (anniversary dress),遠藤霊夢(ハートの女王)
bo peep (toy story),ボー・ピープ
nakamura kazuha,カズハ
murakami tokiwa,村上常盤
belladonna (seiken densetsu 3),美獣イザベラ
froze (funamusea),フローズ
ermengarde (arknights),エルマンガルド(アークナイツ)
sakura bakushin o (swift runner of spring thunder) (umamusume),春雷の韋駄天
the penguin,ペンギン(バットマン)
kodaka saki,小鷹咲希
fatui pyro agent (genshin impact),Fatui Pyroエージェント（Genshin Impact）
renais cardiff shishiou,ルネ・カーディフ・獅子王
aoki clair,青木紅愛
shiunji seiha,紫雲寺清葉
nyx avatar,ニュクス・アバター
furen e lustario (4th costume),フレン・E・ルスタリオ(冬服)
hachiko (dog),忠犬ハチ公
daitokuji biko,大徳寺美子
neru (swimsuit) (blue archive),美甘尼禄(泳装)
bassline (arknights),ベースライン
luka (zombie stage),ルカ
mogami (swimsuit) (kancolle),最上(水着)
cure flower,キュアフラワー
hirokawa takemi,広川武美
aylwin (azur lane),エールウィン(アズールレーン)
yaoshi (honkai: star rail),薬師(スターレイル)
nogami ryoutarou,野上良太郎
commander shepard (male),シェパード司令官（男性）
tsukino (monster hunter),ツキノ(モンハン)
gogo (ff6),ゴゴ
trafalgar (sea breeze moonlit talks) (azur lane),高嶺と潮風
kodama rin (sakura yuki),児玉(妹)
mr. c.b. (dazzling kabuki flower) (umamusume),絢爛花道歌舞く君
mona lisa (grimms notes),モナ・リザ(グリムノーツ)
sava k zeos,サーヴァ・K・ゼオス
duguay-trouin (azur lane),デュゲイ・トルーアン
implacable (her beauty runneth over) (azur lane),馨香靡く盃
boo (monsters inc.),ブー
ayabe kazuya,綾部和也
leman russ,レマン=ラス
matsunaga brigitta kayo,松永・ブリジッタ・佳世
red (dq8),ゲルダ
oriental art (racehorse),オリエンタルアート
miyu edelfelt (swimsuit lancer) (third ascension),美遊・エーデルフェルト(水着)
ex (original) (grimms notes),エクス(グリムノーツ)
examon,エグザモン
shiina yuika (7th costume),椎名唯華(夏制服)
rosalyn (hololive),蘑法カード
calamaramon,カルマーラモン
juniper woods,森澄しのぶ
iberis (ogami kazuki),イベリス
bonobono (character),ボノボノ（キャラクター）
crossbow hybrid (chainsaw man),弩箭恶魔
ootani ikue,大谷育江
internet explorer (merryweather),インターネットエクスプローラー（メリーウェザー）
gareth (swimsuit saber) (first ascension) (fate),ガレス(水着)
hayakawa yahiro,早川弥宏
haku (utawarerumono),ハク
fire mario,ファイアマリオ
excel (excel saga),エクセル
nita (pokemon),ラニュイ
lisia (new year's 2023) (pokemon),ルチア(23シーズン)
han do-yoon,ハン・ドイオン
kaminoi youko,神之椅様子
aratsugu yorino,新更命乃
kanbayashi mizuki,上林圣
kamen rider geats ix,仮面ライダーギーツIX
goha yuuna,ゴーハ・ユウナ
darkness devil,闇の悪魔
long island (long island - indoor slacker) (azur lane),干物三連!
poromon,ポロモン
baku (sanrio),バク(おねがいマイメロディ)
shinya yuda,弓田信哉
lucemon falldown mode,ルーチェモンフォールダウンモード
vidya shannon,龙舌兰
hakka (suimya),白花
himeko (joshi kousei rich thots),ヒメコ（空中）
baby vegeta,ベジータベビー
shine (pretty series),シャイン
hydro eidolon (genshin impact),小水珠
hatsune miku (vintage dress),ヴィンテージドレス
the baddest akali,最も悪いアカリ
hirosoma shinku,廣杣深紅
jack cooper,ジャッククーパー
kitsune no botan (flower knight girl),キツネノボタン
hibino mina,日比野ミナ
chicken (kemono friends),ニワトリ(けものフレンズ)
melc (ogami kazuki),湿地魔女メルク
kino books,キノ・ブックス
danny lee,ダニー・リー
m1014 (girls' frontline),M1014(ドールズフロントライン)
kitakoji hisui (2nd costume),北小路ヒスイ(5万人記念衣装)
galaco (neo),ギャラ子
santa fe (azur lane),サンタフェ
kanae (5th costume) (nijisanji),叶(クリスマス衣装)
baobhan sith (chaldea satellite station) (fate),カルデア・サテライトステーション
thylacine (kemono friends),フクロオオカミ(けものフレンズ)
merc (merc storia),メルク
katsu kaishuu (fate),勝海舟(Fate)
pink-haired nun (404notfound),ピンクの髪の修道女（歪つ）
ibuki douji (first ascension) (fate),イブキ・ドゥジ（最初の昇天）（運命）
gagaga magician,ガガガマジシャン
kiki ajimi,黄木あじみ
beelzebub (sand land),ベルゼブブ(SANDLAND)
mega kangaskhan,メガガルーラ
kanonno grassvalley,カノンノ・グラスバレー
feifei (fkey),Feifei（fkey）
hawkeye (fire emblem),ホークアイ（火の紋章）
blossom (ragnarok online),テーリング
koizumi akako,小泉紅子
zima (ready to go) (arknights),Zima（準備ができている）（Arknights）
nana (krt girls),耐耐
gotou kiichi,ゴトウキチ
misaki nako,岬なこ
leah (pokemon),リア
stella (peach),ステラ(プリンセスピーチ)
terminus est,テルミヌス・エスト
necromancer 2 (sekaiju),Necromancer 2（Sekaiju）
mouri toushirou,毛利藤四郎
sanson (nadia),サンソン
shoggoth (monster girl encyclopedia),ショゴス(魔物娘図鑑)
close (digimon),クローズ
annie barrs,アニー・バース
alessi,アレッシー
felix (golden sun),ガルシア
fenrir (housamo),フェンリル
chelle (dragalia lost),シェス
peppercat,ペッパーキャット
yo chinaka (hakuyagen),余千仲
ping hai (osmanthus moon rabbit) (azur lane),モクセイラビット
odokawa hiroshi,小戸川宏
kousaka mayuri,匂坂マユリ
eita (koi to senrigan to aonisai),英太(恋と千里眼と青二才)
ninti apocalypse,宁蒂·阿波卡利斯
isshiki ichika (murakami suigun),イスシキ・イチカ（村上suigun）
mai akari,真井あかり
chaser (warship girls r),チェイサー
dorothy (fire emblem),ドロシー(封印の剣)
ots-14 (destined love) (girls' frontline),OTS-14（運命の愛）（女の子の最前線）
almaz von almadine adamant,アルマズ・フォン・アルマジン・アダマン
cliff fittir,クリフ・フィッター
ivy (saijaku tamer),アイビー(最弱テイマー)
venelana gremory,ヴェネラナ・グレモリー
higashikata tsurugi,東方つるぎ
kaisei (1st costume) (nijisanji),魁星(通常)
minamiya natsuki,南宮那月
red (sygna suit) (thunderbolt) (pokemon),マジコスレッド_(アナザー)
a (show by rock!!),阿
meythia,メティア
vulnificus,バルニフィカス
chillet,オコチョ
tilarna exedilika,ティラナ・エクセディリカ
suzuha (nozomi tsubame),すずは
kamen rider ixa,仮面ライダーイクサ
narukawa hime,成川姫
sehra klatt,Sehra Klatt
sara (jewelpet twinkle),サラ（ジュエルペットトゥインクル）
raising heart (cannon mode),カノンモード
shino aki,シノアキ
nitta emi,新田恵海
ratel (kemono friends),ラーテル(けものフレンズ)
aisha (saga),アイシャ（サガ）
ourobunny,ウロバニ
mg42 (girls' frontline),MG42(ドールズフロントライン)
rosamia (granblue fantasy),ロザミア
nanashi (megami tensei),ナナシ(真IVF)
grapple pilot (titanfall 2),グラップルパイロット（タイタンフォール2）
ludmila lourie,リュドミラ=ルリエ
rita bernal,リタ・ベルナル
naoe yamato,なおえやまと
hugo (suikoden iii),Hugo（Suikoden III）
lee nabi,リー・ナビ
night strait princess (white),海峡夜棲姫
toyotomi hideyoshi (sengoku basara),豊臣秀吉(戦国BASARA)
shin jia,ヒメノ・ユイ
pi (.hack//),パイ(.hack//G.U.)
kanemoto akari,兼元灯里
kunagisa tomo,玖渚友
natsume nono,棗ノノ
amai shirou,甘井シロー
rikei-chan (tawawa),理系ちゃん
satonaka chie (ooya-san wa shishunki),サトナカチエ（Ooya-san wa shishunki）
kent (azur lane),ケント(アズールレーン)
kim yoon (gondom),キム・ユン（ゴンドム）
z52 (the rapid rabbit) (azur lane),かっ飛ぶラピット!
clevelad (azur lane),リトル・クリーブランド(アズールレーン)
futaba lili ramses,双葉・リリー・ラムセス
riku (kemurikusa),りく(ケムリクサ)
kara (sam yang),カラ（サムヤン）
miyu (vampire princess miyu),ミユ（ヴァンパイア王女ミユ）
orie hakua,オリー・ハクア
izumi houka,和泉朋花
lalamon,ララモン
fuha mika (akagi asahito),フハミカ
marci (dota),マルシ（ドタ）
newcastle (apex legends),ニューキャッスル
otonari-san (sasaki to p-chan),お隣さん(佐々木とピーちゃん)
ryutaro naruhodo,成歩堂龍太郎
maria (housamo),マリア
robo-fortune,ロボ・フォーチュン
mamiya (hokuto no ken),マミヤ
kasumi (senran kagura),霞(閃乱カグラ)
fleur (personal ami),fleur（個人的なami）
kunichika yuu,国近柚宇
gotou yuuko,後藤邑子
yuuki nanase,結城七瀬
yubelluna,ユーベルーナ
ahim de famille,アイム・ド・ファミーユ
kokage-san,Kokage-San
takajou joujirou,タカジョー・ジュジロウ
superstar (granblue fantasy),スーパースター（グランブルーファンタジー）
shiroe adele,シロエ・アデール
ingo (special costume) (pokemon),ノボリ_(スペシャル)
dolly (toaru kagaku no railgun),ドリー(とある科学の超電磁砲)
grainne (fate),グラニア
long-haired girl (ishiyumi),長髪の少女（石yumi）
aoki mei,青木明
sig (granblue fantasy),シグ(グラブル)
brown twintails girl (mdf an),ブラウントゥイントールガール（MDF AN）
kuro (doko demo issyo),クロ(どこでもいっしょ)
saraqael (last origin),サラカエル(ラストオリジン)
oda nobunaga (sengoku otome),織田ノブナガ
epis,エピス
fam fan fan,ファム・ファン・ファン
cherbourg (azur lane),シェルブール(アズールレーン)
eldridge (the inquisitive recluse) (azur lane),空き教室の不思議
lakshmi (p&d),ラクシュミー
kuroinyan,クロイニャン
kikuhara karin,菊原香鈴
eno konoe,木乃恵
oracle (shinkai no valkyrie),Oracle（Shinkai No Valkyrie）
brioche d'arquien,Brioche D'Arquien
furuya jun,古屋純
ubukata shinji,生形伸二
fox girl (mdf an),フォックスガール（MDF AN）
witch (goblin slayer!),魔女(ゴブリンスレイヤー)
heidr (fire emblem),ヘイズ(ファイアーエムブレム)
dusk of oolacile,Oolacileの夕暮れ
rynn (acerailgun),Rynn（Acerailgun）
tachibana ritsuka,立華リツカ
maya yukiko,真屋由暉子
honda tadakatsu (sengoku bushouki muramasa),本多忠勝
hieda no are,稗田阿礼
yaeno nadeshiko,八重野撫子
trin (tone sphere),のべっち
concord (azur lane),コンコード
putty (phantom brave),パテ（ファントムブレイブ）
matsuda tsubaki,松田tsubaki
yorktown (warship girls r),ヨークタウン
sangoku taichi,三国太一
nanami sai,七海SAI
reno (summer spin-off) (azur lane),サマー・スピンオフ
ishikawa tooru,石川透
electra (nadia),エレクトラ
nemo (nadia),ネモ
gyari (bird),gyari（鳥）
takano akira,高野晶
ann blyth,アン・ブライス
stan (honkai impact),スタン（ホンカイインパクト）
traptrix genlisea,リセの蟲惑魔
shadow giant,影の巨人
doreking,ドレキング
yurikawa saki,ユリカワ・サキ
arigato usagi,ありがとウサギ
kai harn,カイ・ハーン
masked royal,ロイヤルマスク
kuma-tan,くまたん
mimic (dungeon meshi),ミミック
kisaki mio,希咲美桜
suzukawa koume,鈴川小梅
migiwa kazuha,渚一叶
ko-yuyuko (shin'en),子ゆゆこ
nakamachi kana,中町かな
komiya nonoka,古宮乃々香
nether angel (housamo),冥のエンジェル
asou yuma,浅生由真
iyayo,イヤ代
cacao (lamune),カカオ
nishimura chiharu,西村チハル
azuki nagamitsu (touken ranbu),小豆長光
nanakorobi nene,七転福音
karasuba,鴉羽
tilia (ar tonelico),ティリア
giselle collette vingt,ジゼル・コレット
miko kubota,クボタミコ
machio naruzou,街雄鳴造
ramona (the prey),ラモナ（獲物）
linmei quan,Linmei Quan
mega slowbro,メガヤドラン
arizuki shiina,有月椎菜
abe takaya,阿部隆也
farina (fire emblem),ファリーナ（火の紋章）
ren (fragile),レン(FRAGILE〜さよなら月の廃墟〜)
akari (summer 2026) (pokemon),ショウ(26シーズン)
rawberry preserves,ロベリィ・プリザーブ
acerola (summer 2024) (pokemon),アセロラ(24シーズン)
overtimeboo (zenless zone zero),サビサンボンプ
valor (league),Valor（League of Legends）
lind (princess connect!),リンド(プリコネ)
kuai liang,カイ・リャン
fizz (league),フィズ（リーグオブレジェンド）
kurt cramer,カート・クレイマー
gragas (league),グラガ
saya sairroxs,サヤ・サイロクサス
lev lainur flauros,レフ・ライノール・フラウロス
hagiwara yukiho (idolmaster xenoglossia),ゼノ雪歩
sheila helman,シーラ・ヘルマン
kamishiro ouka,上代桜花
eto (arcaea),エト
midgardsormr (final fantasy),ミドガルズオルム
suo sango (2nd costume),ンゴ新衣装
twelve (street fighter),トゥエルヴ(ストリートファイター)
brunnya (fire emblem),ブルーニャ
akiyama haruno,秋山春乃
rekio (mizumiya su),れきおー
petit dragon,プチリュウ
pamiat merkuria (sweet cherry memories) (azur lane),サクランボ・ブイ
furutaka (valentine) (kancolle),古鷹(バレンタイン)
nameless priest (blue archive),無名の司祭
umikaze (mitsukoshi) (kancolle),海風(三越)
cannot goodenough (arknights),キャノット・グッドイナフ
julie powers,ジュリー・パワーズ
dokamon,ドカモン
ootomo sourin (sengoku otome),大友ソウリン
hatsuyuki kai ni (kancolle),初雪改二(艦隊これくしょん)
piglet (winnie the pooh),ピグレット
olympia (sekaiju),オランピア
kanzaki (senran kagura),神咲(閃乱カグラ)
gerda (fate),ゲルダ(Fate)
vivi vache (monmusu td),ヴィヴィヴァーチェ
mohn (pokemon),モーン(ポケモン)
dracotail faimena,星辰砲手ファイメナ
brain control (yu-gi-oh!),洗脳-ブレインコントロール
punimon,プニモン
suze (aquarium wa odoranai),スーズ
princess ripple,プリンセス・リップル
homura takeru,穂村尊
mikage rizu,御影リズ
koharu (sao),コハル
prinz moritz (azur lane),プリンツ・モーリッツ
pale rider (fate),偽ライダー
aiba uiha (1st costume),相羽ういは(通常)
wiene (danmachi),ウィーネ
paimon (magi),パイモン
mind controlled exs-tia,洗脳エクスティア
miyano yoshikazu,宮野由美
honami azusa,本阿弥あずさ
rizna lanfebit,リズナ・ランフビット
tsukigime sabuko,月極さぶ子
vinyl scratch,ビニールスクラッチ
lex (fire emblem),レックス
maaa,マアアさん
gallows carradine,絞首台キャラダイン
simulation juncea,ユンケア
nishi kaoruko,カンサイねこ
byalant,バイアラン
amano erika,天野エリカ
lilac (live a hero),ライラック
ichigeki danko,一撃弾子
phoenix ikki,フェニックス一輝
misery (arknights),ミザリー(アークナイツ)
minashiro tsubaki,皆城乙姫
haine (blue archive),ハイネ
pang (sdorica),龐
spiny,トゲゾー
senkou no flash,閃光のフラッシュ
kamigoori marimo,神郡鞠萠
lubbock,ラバック
golion (mecha),ゴライオン
eurasian beaver (kemono friends),ヨーロッパビーバー(けものフレンズ)
cipher (ace combat),円卓の鬼神
mu (caligula),Mu（カリグラ）
yamato endo,棪堂哉真斗
frilled lizard (kemono friends),エリマキトカゲ(けものフレンズ)
kumonoue yumemi,くもの上ユメミ
caroline bartley,卡洛琳·巴特利
herrscher of the end,第十四律者
dracotail lukias,星辰槍手ルキアス
otter (hasu no sora),カワウソ(蓮ノ空)
futami shion,双海詩音
sakurai tomo,桜井智
yowa netaro,夜半子タろ
gyunei guss,ギュネイ・ガス
happy ghast,ハッピーガスト
izumi (new year) (blue archive),獅子堂イズミ(正月)
natsukawa masuzu,夏川真涼
tanaka atsuko,田中敦子
mashiro kanon,眞白かのん
shabotan alma,シャボタン・アルマ
yu mei-ren (spare the idle talk) (fate),閑話休怠
little black sheep (arknights),小黑羊
kouchi tadashi,小内忠
igarashi sakuko,五十嵐咲子
dupleix (azur lane),デュプレクス(アズールレーン)
tokai teio (dream butterfly of purple clouds) (umamusume),紫雲の夢見取り
rammus (league),ラムス
tachibana kanna,橘柑奈
peter pan (novel character),ピーター・パン
nanahikari rami,七光蘭未
chiba erika,千葉エリカ
fumyr (epic seven),フミル
harusame (autumn) (kancolle),春雨(中秋)
kumari kojika,久万梨金鹿
tsubuzaki anko,粒咲あんこ
amahara kuon,天原クオン
chkalov (azur lane),チカロフ(アズールレーン)
honduran white bat (kemono friends),シロヘラコウモリ(けものフレンズ)
empress (last origin),エンプレス
ilmeria von leinweber,イルメリア・フォン・ラインウェバー
rukawa-chan (namagome negi),ルカワチャン
saegusa akina (4th costume),三枝明那(新デフォルト)
melady (fire emblem),ミレディ
shiro amada,シロー・アマダ
kobayashi aika,ハムリハ
yuffie kisaragi (summer orange),サマーオレンジ
blitz (rainbow six siege),ブリッツ(R6S)
vegapunk atlas,アトラス(ONEPIECE)
anubis (stand),アヌビス神
machiyuki ricka,まちゆきりっか
wakan tanka mugen,ワカン・タンカ∞
musashi (swimsuit) (kancolle),武蔵(水着)
haida (aggretsuko),ハイ田
rigel (z/x),リゲル(Z/X)
amanogawa ryuusei,天野河リュウセイ
tachibana (senran kagura),橘(閃乱カグラ)
shinozaki ai (corrector yui),篠崎愛
sekiguchi yuria,関口ユリア
curtis (pokemon),テツ
grant (pokemon),ザクロ(トレーナー)
undine (neural cloud),ウンディーネ(ニューラルクラウド)
satomura akane,里村茜
vestia zeta (jirai kei),ベスティア・ゼータ(インドネシア風衣装)
makino hiyori (wakana hanabi),ひより
legioss,Legioss
yukkronii (ouro kronii),yukkronii（usolo kronii）
ankou (shuuen no virche),アンクゥ
hidaka saori,日高さおり
goto hime,後藤姫
kiso (saury festival) (kancolle),木曾(秋刀魚祭り)
makimachi misao,巻町操
mega steelix,メガハガネール
ohara rinne,御原凛音
frederica (sennen sensou aigis),極重巨砲フレデリカ
ogata nenji,緒方稔二
blue-haired boy (how to draw manga),青い髪の少年（漫画を描く方法）
hisami nanami,久海菜々美
yanagiya kokoro,柳谷こころ
billbine,ビルバイン
abel (street fighter),アベル(ストリートファイター)
scarlet spider,スカーレットスパイダー
tinkerbat,ティンカーバット
bulkhead,バルクヘッド
callie (young) (splatoon),アオリ
yggdra yuril artwaltz,Yggdra Yuril Artwaltz
sara (mahjong soul),サラ
tuba-kun,チューバくん
end bunny (disney),エンドバニー
prinz eugen (kindred evening spirits) (azur lane),この夜に酔いしれ
mutsuki (flowery charms) (blue archive),浅黄ムツキ(華芳雅韻)
akechi mitsuhide (fate),明智光秀(Fate)
owlbear,アウルベア
figaro garcia,フィガロ・ガルシア
agucala (cookie),AGCL姉貴
88 flak (ash arms),アハトアハト
hanashiro yuuka,花城優佳
nelke von lestamm,ネルケ・フォン・ルシュターム
tufted puffin (kemono friends),エトピリカ(けものフレンズ)
red (champion) (pokemon),レッド(チャンピオン)
count of monte cristo (gankutsuou),モンテ・クリスト伯爵
yi feng (the legend of luoxiaohei),逸风
37 (maidjump goods cafe) (reverse:1999),37(萌果酱谷子咖啡)
cody (dross),コーディ（ドロス）
chigusa hana,千草はな
sister (arakawa),姉妹（アラカワ）
koinoya mai,恋乃夜まい
oldrin zevon,オルドリン・ジヴォン
orie mishiro,オリー・ミシロ
matenshi (touhou),封魔録四面中ボス
aleph coulson,アレフ・コールソン
kg-6 sleipnir,スレイプニール
futao ping (wuhua mixin),蝠桃瓶
beast titan,獣の巨人
azrael (blazblue),アズラエル
foo fighters (stand),フー・ファイターズ
aster arcadia (1st costume),アスター・アルカディア(通常)
chaos puss in boots (grimms notes),カオス・長靴をはいた猫(グリムノーツ)
kac-pdw (girls' frontline),KAC-PDW(ドールズフロントライン)
kamen rider gotchard (steamhopper),スチームホッパー
casablanca (cheer squad on break) (azur lane),応援団の休憩タイム
akira agarkar yamada,アキラ・アガルカール・山田
shiba tougo,柴(カグラバチ)
tt-392,TT-392
namatame chitaru,ちたひつ
algomon,アルゴモン
jitome-chan (tawawa),Jitome-chan（Tawawa）
beryl (shinrabanshou),烈将ベリル
witch (dmfd),魔女（dmfd）
ryisu (deluxe<<<),ryisu（deluxe <<<）
fotia of fireside,炉辺のフォティア
gaige,ゲイジ
mash kyrielight (welcome to the traveling circus!),トラベリング大サーカス!
klein (fire emblem),クライン（火の紋章）
miruro (futagohime),ミルロ
eroneko-san,えろねこさん
andrea vaeyl,アンドレア・ヴァイール
top speed,トップスピード
shiina (koufuku graffiti),椎名さん
mabel raybert,メイベル
monjiro (sorobochi),モンジロ（ソロボチ）
mochiya (cookie),MCY姉貴
elle sweet,エル・スウィート
hatsune miku (star voice),スターヴォイス
kazemachi haruka,風町陽歌
minami toshimi,南利美
lisa pacifist,リサ・パツィフィースト
shiho huit,シホ
hayase fukami,早瀬ふかみ
sendou emi,先導エミ
uchida shuu,内田秀
rinna mayfield,リンナ・メイフィールド
eight-tailed fox nari,ナリ(ガーディアンテイルズ)
chrono (chrono crusade),クロノ（クロノ十字軍）
saane (monster musume),サーネ
naze youka,黒神くじら
earthree gundam,アースリィガンダム
yoyami rei,スクブス
wilbur (animal crossing),ロドリー
tsukinami kasumi,月浪かすみ
darunia,ダルニア
fujita saki,藤田咲
juju coo shnamur,ジュジュ
black rock shooter beast,ブラック★ロックシュータービースト
hinata himawari,日向ヒマワリ
yuurei-chan,ユリチャン
yume urara,有愛うらら
mint (flower knight girl),ミント(花騎士)
takeuchi mariya,竹内まりや
kaminari ryuunosuke,神成●龍之介
majorika,マジョリカ
graham specter,グラハムスペクター
wendy garrett,ウェンディ・ギャレット
asakura (ishida to asakura),浅草（石田から浅草）
riko (iyowa),リコ
death gun,デスガン
hawkeye (granblue fantasy),ホークアイ（グランブルーファンタジー）
yadone kanna,Yadone Kanna
zahlhamelina,ザルハメリナ
suketoudara,すけとうだら
tiki (pangya),ティキ（パンヤ）
yui (yomawari),ユイ(深夜廻)
eris jerand,エリス・ジェランド
edea kramer,イデア・クレイマー
61cm quadruple (oxygen) torpedo mount,61cm四連装(酸素)魚雷
hyuuga makoto,日向マコト
tanned girl (kamisimo 90),日焼けした少女（カミシモ90）
alfred (kounoike tsuyoshi),アルフレッド（KounoikeTsuyoshi）
fred weasley,フレッド・ウィーズリー
kanamori reiko,金森麗子
nehelenia (sailor moon),ネヘレニア
asakura mao,麻倉真央
rabbit selena (hiruno),ラビットセレナ
lune (kaminomi),ルーン（カミノミ）
chidejika,地デジカ
morimi saki,モリミサキ
sarah adiemus,サラ・アディエマス
eleuseus,エレウゼス
shiba hibino,史場日々乃
konoe nanami,近衛七海
lee (gyee),リー（gyee）
mister bushido,ミスター・ブシド
moetarou,Moetarou
eve (wall-e),イヴ
shinozaki akina,篠崎秋菜
norah bright,ノーラ=ブライト
shinjou kanae (teekyuu),新庄かなえ
irene (claymore),アイリーン（クレイモア）
call f,f
kirigaya hitsugi,桐ヶ谷柩
emilia hermit,エミリア・ハーミット
admiral graf spee (a novel anniversary) (azur lane),未知の記念日
tosh (arc the lad),トッシュ（アーク・ザ・ラッド）
nishijima ren,西島ren
togawa mayuu,十川真優
limalisha,リムアリーシャ
tonzura,トンズラー
raising heart (accel mode) (2nd),アクセルモード
sou (shichigatsu),sou（shichigatsu）
hanabishi miki,花菱美希
haruka nana,春歌ナナ
chiitan,ちぃたん☆
takarada orie,六花ママ
hinata mahiru,日向まひる
joy (shenmue),喜び（シェンミュー）
kawashiro nitori (kappa),川橋ニトリ（カッパ）
adolfine galland,アドルフィーネ・ガランド
tanya (granblue fantasy),ターニャ
ashigara (aoki hagane no arpeggio),アシガラ
olaf (league),オラフ（リーグオブレジェンド）
lucian (league),ルシアン
tsumugi (purinpurin),つむぎ(プリンプリン)
the original starwalker,オリジナルのスターウォーカー
old friend (kirby),セクトニア
unryuu akari,雲竜あかり
gareth (swimsuit saber) (second ascension) (fate),ガレス(水着)
cai (fire emblem),カイ(ファイアーエムブレム)
bennington (sunshine chaser) (azur lane),サンシャイン・チェイシング
fujitora (one piece),イッショウ
uni (chunithm),ユニ
knight (final fantasy),ナイト
kabuterimon,カブテリモン
son goku (saiyuki),孫悟空(最遊記)
oogaki hinata,大垣ひなた
sparxie (ethereal dance) (honkai: star rail),火花・舞い踊る
kurusu eliza,来栖エリザ
wish me mell,ウィッシュミーメル
dola (laputa),ドーラ
pansy parkinson,パンジー・パーキンソン
takasaki misaki (yuruyuri),高崎みさき
nishi hiroto,西弘人
teresa keltula,テレサ・ケルトゥーラ
arisakaaa (crazy raccoon),ありさか
hot rod (transformers),ホットロッド（トランス）
natsu (precure),夏(プリキュア)
hanazuki (kancolle),花月(艦これ)
ramona (reverse:1999),拉莫纳
ferio (rayearth),フェリオ
ron (ninjala),ロン
amamiya mimori,天宮ミモリ
evertsen (azur lane),エヴァーツェン
mikuma kai ni (kancolle),三隈改二
dan heng (woof woof dan) (honkai: star rail),汪汪丹
march 7th (march bunny) (honkai: star rail),三月兔
mighty morphin pink ranger,マイティ・モーフィン・ピンクレンジャー
steller's sea lion (kemono friends),トド(けものフレンズ)
okita souji (real life),沖田総司
mirage koas,ミラージュ・コースト
zima the raging tide (arknights),怒潮凛冬
kamonohashi (girls und panzer),コアラの森学園
irina kush,入名クシュ
steve burnside,スティーブ・バーンサイド
flora (fate),フローラ(Fate)
saeki kayako,伽椰子
powai pichori,ポワイ・ピチョリ
wind archer cookie,ウィンドアーチャークッキー
