original,オリジナル
youkai watch: punipuni,妖怪ウォッチぷにぷに
kanata no astra,彼方のアストラ
after sweet kiss,甘いキスの後
programming live broadcast,プログラミング生放送
tsumugu otome to taishou no tsuki,紡ぐ乙女と大正の月
heat-soft,ヒートソフト
pppppp,ピピピピピピ
dominion (manga),特捜戦車隊ドミニオン
rust (game),さび（ゲーム）
nein (album),Nein（アルバム）
hidan no aria aa,緋弾のアリアAA
kaze no stigma,風の聖痕
pc angel,PCエンジェル
the a-team,特攻野郎Aチーム
shirokami gakuen,【しろかみ学園】
land of caromag,魔卡领域
happy margaret!,はっぴぃ☆マーガレット!
mario + rabbids sparks of hope,マリオ+ラビッツ_スパークスオブホープ
star conflict,星の対立
growlanser vi,グローランサーVI
deadpool (movie),デッドプール（映画）
centaur no nayami,セントールの悩み
scary campus college university,スケアリー・キャンパス・カレッジ・ユニバーシティ
spelunker,スペランカー
aneimo,あねいも
ufo princess valkyrie,円盤皇女ワるきゅーレ
komorebi ni yureru tamashii no koe,こもれびに揺れる魂のこえ
baroque (series),バロック
penguin highway,ペンギン・ハイウェイ
cafe little wish,カフェリトルウィッシュ
assassin's creed: brotherhood,アサシンクリードブラザーフッド
hare-kon.,ハレ婚
kimi no tonari de koishiteru!,キミのとなりで恋してる!
shoujo-tachi wa kouya wo mezasu,少女たちは荒野を目指す
daydream show,Daydream Show
majin bone,マジンボーン
diverse system,多様なシステム
tiger mask w,タイガーマスクW
spider-man 3,スパイダーマン3
baka ni kokuhaku,バカに告白
icy (love live!),アイシイ
hajirau kimi ga mitainda,恥らう君が見たいんだ
sekai de ichiban tsuyoku naritai!,世界でいちばん強くなりたい!
mario hoops 3-on-3,マリオバスケ3on3
musou orochi: maou sairin,無双OROCHI魔王再臨
doraemon: nobita to tetsujin heidan,のび太と鉄人兵団
midsommar,ミッドサマー
konoha no sekai jijou (vocaloid),コノハの世界事情
liar liar,ライアー・ライアー
secret love (kari),シークレットラブ(仮)
sword world 2.5,ソード・ワールド2.5
violated heroine,VHゲーム01
tsumi to batsu (vocaloid),罪と罰
banner of the maid,聖女戦旗
akage (vocaloid),赤毛
sakanaction,サカナクション
the very hungry caterpillar,はらぺこあおむし
burning force,バーニングフォース
kimagure temptation 2,きまテン2
zanki (zutomayo),残機
jk bitch ni shiboraretai,JKビッチに搾られたい
kurokami,黒子
twin angels,淫獣聖戦シリーズ
brandish,ブランディッシュ
magical explorer,マジカル★エクスプローラー
deaimon,であいもん
kuon no kizuna,久遠の絆
dragon's dogma 2,ドラゴンズドグマ2
taishou otome otogibanashi,大正オトメ御伽話
virtual talent academy,バーチャル・タレント・アカデミー
musekinin kanchou tylor,無責任艦長タイラー
zettai bl ni naru sekai vs zettai bl ni naritakunai otoko,絶対BLになる世界VS絶対BLになりたくない男
beck,ベック
freedom planet 1,自由星球1
akiba's trip 2,アキバズトリップ2
cing,Cing
hotel dusk,ウィッシュルーム
muryoku seijo to munou oujo,無力聖女と無能王女
knives out,荒野行动
koufukuron (love live!),咬福論
kunoichi (game),久野（ゲーム）
hyakunichigo ni shinu wani,100日後に死ぬワニ
mona lisa no zaregoto,モナ・リザの戯言
high card,ハイカード
after the rain,そらいろまふらー
puchi puri yucie,ぷちぷり*ユーシィ
dekkano!!,でっかの!!
queendom (love live!),Queendom（Love Live！）
dekoboko majo no oyako jijou,でこぼこ魔女の親子事情
bara to tsubaki,薔薇と椿
seifuku!,せいふく!
lord of walkure,ロードオブワルキューレ
missing stars,行方不明の星
nodame cantabile,のだめカンタービレ
yog-sothoth's yard,犹格索托斯的庭院
dust: an elysian tail,ほこり：エリシアンの尾
ranpo kitan,乱歩奇譚
abysmal,アビスマル
real madrid,レアル・マドリード
marinasu,まりなす
twinkle star sprites,ティンクルスタースプライツ
reversible,可逆
zaiyuki,在勇気
monochro blue sky (vocaloid),モノクロ∞ブルースカイ
+tic nee-san,+チック姉さん
aoki uru,蒼きウル
honneamise no tsubasa,オネアミスの翼
eden no ori,エデンの檻
nana to kaoru,ナナとカオル
den'ei shoujo,電影少女
maple colors,メイプルカラーズ
natsuyasumi.,ナツヤスミ.
kodomo no omocha,こどものおもちゃ
lab zero games,ラボゼロゲーム
dnangel,D・N・ANGEL
morning musume,モーニング娘。
10000 kounen sougankyou,10000光年双眼鏡
girls book maker ~shiawase no libretto~,ガールズ・ブック・メイカー-幸せのリブレット-
nakahara-kun no kahogo na imouto,中原くんの過保護な妹
hello lady,ハロー・レディ!
momoiro guardian,ももいろガーディアン
imouto tasha paranoia,妹、他者、パラノイア
nekorindou,猫りん堂
clash royale,クラッシュ・ロワイヤル
onmyoji arena,决战!平安京
zatsu tabi,ざつ旅
shijou saikyou no daimaou murabito a ni tensei suru,史上最強の大魔王、村人Aに転生する
deltora quest,デルトラクエスト
primal hearts 2,Primal Hearts 2
club suicide,クラブ・スーサイド
project grimms,おえかきぐりむ
saints row,セインツロウ
love death + robots,Death + Robotsが大好きです
iron maiden (band),アイアン・メイデン
before crisis: final fantasy vii,ビフォアクライシス
minesweeper,マインスイーパ
karakara (game),カラカラ
hasu no sora jogakuin school idol club osanpo nikki,蓮ノ空女学院スクールアイドルクラブお散歩日記
natsumi step!,なつみSTEP!
asadoke no majo,朝溶けの魔女
gacha life,ガチャライフ
microman,ミクロマン
alice in musicland (vocaloid),ミュージックランドのアリス（ボーカロイド）
digimon linkz,デジモンリンクス
koi to mahou to kanrinin,恋と魔法と管理人
oyasai yousei to manabu yasai no chishiki zukan,おやさい妖精とまなぶ野菜の知識図鑑
pluto (manga),プルートウ
transformers: the movie,トランスフォーマーザ・ムービー
friend girl friend,フレンドガールフレンド
madou king granzort,魔動王グランゾート
dong-jin rice-hime,東津萌米
littlest pet shop (2012),リトレストペットショップ
bukiyou na senpai,不器用な先輩。
parasite eve ii,パラサイト・イヴ2
ido e itaru mori e itaru ido,イドへ至る森へ至るイド
nioh 2,仁王2
moeoh ex,萌王EX
sukeban deka,スケバン刑事
mist sequence,ミストシーケンス
hi hi puffy amiyumi,ハイ!ハイ!パフィー・アミユミ
tokyo blade (oshi no ko),東京ブレイド
evangelion: 30th anniversary special performance,エヴァンゲリオン放送30周年記念特別興行
streets of rage 4,ベア・ナックルIV
kamitsubaki city under construction,神椿市建設中。
vestaria saga,ヴェスタリアサーガ
ireisu,いれいす
girls frantic clan,ガールズフランティッククラン
chiisana kanojo no serenade,ちいさな彼女の小夜曲
haydee (game),ヘイディー（ゲーム）
cutie honey flash,キューティーハニーF
warioware: move it!,超おどるメイドインワリオ
steamboat willie,蒸気船ウィリー
suufunkan no yell wo,数分間のエールを
attouteki yuugi mugen souls z,圧倒的遊戯ムゲンソウルズZ
cuisine dimension,キュイディメ
mr. bean (series),Mr.ビーン
project soul,代号境
yu-gi-oh! 3d bonds beyond time,超融合!時空を越えた絆
sonic riders: zero gravity,ソニックライダーズシューティングスターストーリー
hikari to mizu no daphne,光と水のダフネ
national hockey league,ナショナルホッケーリーグ
aoi sora no neosphere,蒼い空のネオスフィア
afghanis-tan,あふがにすタン
hikounin sentai akibaranger,非公認戦隊アキバレンジャー
30-sai made doutei dato mahoutsukai ni nareru rashii,チェリまほ
bible bullet,神代梦华谭
irodori koukou gasshoubu yori,いろどり高校合唱部より
smile cubic!,すまいるCubic!
taco bell,タコベル
uchuu kaizoku sara,宇宙海賊サラ
period,ピリオド
bokura wa minna kawaisou,僕らはみんな河合荘
futago no haha seihonnou,双子ノ母性本能
kyonyuu fantasy burst,ファンタジーバースト
assassin's creed: revelations,アサシンクリードリベレーション
downer onee-san wa asobitai,ダウナーお姉さんは遊びたい
yuuryou bukken mou dame sou,優良物件もうダメ荘
arcana famiglia,アルカナ・ファミリア
manatsu no yoru no yuki monogatari,真夏の夜の雪物語
killer instinct (2013),キラーインスティンクト
shukushou gakuen,縮小学園
golden lore,ゴールデンロア
ijirare ~fukushuu saimin~,イジラレ~復讐催眠~
gift eternal rainbow,ギフトエターナルレインボー
battletoads,バトルトード
waga mama capriccio,WAGA魔々かぷりちお
saiunkoku monogatari,彩雲国物語
inishie no megami to houseki no ite,古の女神と宝石の射手
shibatte mitsumete,縛って見つめて
outer science (vocaloid),アウターサイエンス
yarichin bitch-bu,ヤリチン☆ビッチ部
advance wars: days of ruin,ファミコンウォーズDS2
otsushimai,オツシマイ
vitamin quest,びたみんクエスト
himitsu sentai gorenger,秘密戦隊ゴレンジャー
lovemon,ラブモン図鑑
t-shi no hanashi wo shinjiru na (vocaloid),T氏の話を信じるな
power pro-kun pocket 8,パワポケ8
kagamine rin/len happy 14th birthday,カガミン・リン/レン幸せな14歳の誕生日
hikari no naka de hana saite,光の中で花咲いて
chatgpt,チャットGPT
kyuu & ei (utau),求&影
aoshima bunka kyouzai,アオシマ
tou xing jiuyue tian,偷星九月天
namco namja town,ナンジャタウン
futsutsuka na akujo de wa gozaimasu ga,ふつつかな悪女ではございますが
30 minutes missions,30ミニッツミッションズ
mega man x7,ロックマンX7
kishin douji zenki,鬼神童子ZENKI
nanako sos,ななこSOS
mahou shoujo celesphonia,魔法少女セレスフォニア
akuyaku reijou level 99: watashi wa ura-boss desu ga maou dewa arimasen,悪役令嬢レベル99
getter robo go,ゲッターロボ號
dungeon of regalias,ダンジョンオブレガリアス
sannen z-gumi ginpachi sensei,3年Z組銀八先生
kitsune ga boku wo matteiru,狐が僕を待っている
mata korosarete shimatta nodesune tantei-sama,また殺されてしまったのですね、探偵様
ren & stimpy,レンとスティンピー
minna de zutto shiawase ni kazoku de issho ni tanoshii party wo,みんなでずっと幸せに、家族で一緒に、楽しいパーティを。
yoshibari aubade,夜縛◆夜明曲
enogu,えのぐ
fantastic danmaku festival,東方幕華祭
itoko no ko,いとこのこ
tensei benki ha tsumi ja nai!!,転生ベン器はツミじゃない!!
guardians of the galaxy vol. 3,ガーディアンズ・オブ・ギャラクシー:VOLUME_3
nyantasia,にゃんたじあ!
vtuber nandaga haishin kiriwasuretara densetsu ni natteta,VTuberなんだが配信切り忘れたら伝説になってた
hachiban ramen,8番らーめん
call up girls,呼唤少女
digimon seekers,デジモンシーカーズ
inscryption,インスクリプション
asano sisters project,朝ノ姉妹ぷろじぇくと
comic megastore h,コミックメガストーレh
nozomanu fushi no boukensha,望まぬ不死の冒険者
tulip (idolmaster),チューリップ（アイドルマスター）
hime-chan no ribbon,姫ちゃんのリボン
toumei na yoru ni kakeru kimi to me ni mienai koi wo shita,透明な夜に駆ける君と、目に見えない恋をした。
chasing kaleidorider,チェイシング・カレイドライダー
hello hoshi wo kazoete,"Hello,星を数えて"
sonic team,ソニックチーム
ai kotoba iv (vocaloid),愛言葉IV
kuro senpai to kuro yashiki no yami ni mayowanai,黒先輩と黒屋敷の闇に迷わない
doujin work,ドージンワーク
kamurogiku (idolmaster),冠菊(学園アイドルマスター)
ki ni naru ano musume,木になるあの娘
mahou shoujo ririimea,魔法少女イノセント☆リリィ
imsa sportscar championship,IMSAウェザーテック・スポーツカー選手権
ryuu ga gotoku 5,龍が如く5
to love-ru darkness: idol revolution,愛と闇へ：偶像革命
millennium tour,千年之旅
great pretender,グレートプリテンダー
osananajimi wa daitouryou,幼なじみは大統領
iria zeiram the animation,ゼイラム
kiteretsu daihyakka,キテレツ大百科
gundam u.c. engage,機動戦士ガンダムU.C.ENGAGE
finding nemo,ファインディング・ニモ
cabbage soft,きゃべつそふと
shinka musume channel,新科娘
bistro cupid,ビストロ・きゅーぴっと
blasphemous,ブラスフェマス
sky diver xipuria,青空のサィフュリア
discworld,ディスクワールド
taiso samurai,体操ザムライ
pyuu to fuku! jaguar,ピューと吹く!ジャガー
sorairo innocent,Sorairo Innocent
ignis no meiyaku kishi,赫竜王の盟約騎士
arc the lad twilight of the spirits,アークザラッド精霊の黄昏
akane maniax,アカネマニアックス〜流れ星伝説剛田〜
shounen hollywood,少年ハリウッド
chowder (series),チャウダー
suzumiya haruhi no tomadoi,涼宮ハルヒの戸惑
ryuukishi bloody saga,縁白血球の佐賀
kagamin bocchi,カガミン・ボッキ
stand my heroes,スタンドマイヒーローズ
the kingdom of felismans,フェリスマンの国
bahamut lagoon,バハムートラグーン
super mario-kun,スーパーマリオくん
ryuujin naga,リュウジン・ナガ
isekai ni tobasaretara papa ni nattandaga,異世界に飛ばされたらパパになったんだが
garnet cradle,ガーネット・クレイドル
le chevalier d'eon,シュヴァリエ
kisaku,キサク
princess evangile,エバンガイル王女
super princess peach,スーパープリンセスピーチ
musical touken ranbu,刀ミュ
tron: legacy,トロン:レガシー
hinomaru zumou,火ノ丸相撲
moekan,ムーカン
kiite kuremasu yo ne senpai,聞いてくれますよね?先輩
a will,意志
jiko koutei kan baku age shuki shuki song (idolmaster),自己肯定感爆上げ↑↑しゅきしゅきソング
onmyou taisenki,Onmyou taisenki
pocket fighter,ポケットファイター
bravely default: fairy's effect,ブレイブリーデフォルトフェアリーズエフェクト
marshmallow (vocaloid),マシュマロ(DECO*27)
hima-ten!,ひまてん!
gekisou sentai carranger,激走戦隊カーレンジャー
corpse bride,コープスブライド
o henji madakana ojisan koubun (voisona),お返事まだカナおじさん構文
shounen sunday,少年サンデー
death end re;quest,デスエンドリクエスト
sonichu (series),ソニチュウ
the iron giant,アイアン・ジャイアント
perman (series),パーマン
senki survival saga - isekai no unmei wo kaketa mujintou fujun iseikouyuu,戦姫サバイバルサガ-異世界の運命をかけた無人島フジュン異性交遊-
starseed: asnia trigger,スターシード:_アスニア_トリガー
hitotose tanteidan,ひととせ探偵団
teenage mutant ninja turtles (2012),ニック亀
kisaragi gold star,キサラギゴールドスター
sword art online variant showdown,SAOヴァリアント・ショウダウン
blue eye samurai,ブルーアイ・サムライ
need for speed: most wanted (2005),ニード・フォー・スピードモスト・ウォンテッド
ginga patrol jaco,銀河パトロールジャコ
romeo no aoi sora,ロミオの青い空
cleavage (game),クレイヴィジ
romance of the three kingdoms (game),三國志
bokujou monogatari: youkoso! kaze no bazaar e,ようこそ!風のバザールへ
nekojiru udon,ねこぢる
kagetora-kun wa modorenai,景虎くんは戻れない
e school life,Eスクールライフ
langrisser i,ラングリッサーI
karenai sekai to owaru hana,枯れない世界と終わる花
lego monkie kid,レゴモンキーキッド
dishonored,不名誉
costco,コストコ
tsugai kogarashi (vocaloid),番凩
muv-luv alternative chronicles,Muvluv代替クロニクル
oizumi,オーイズミ
toyota gazoo racing,トヨタ・ガズー・レーシング
haruka na sora,ハルカナソラ
imooka,いもおか
shantae: risky's revenge,リスキィ・ブーツの逆襲
ultraman teo (series),ウルトラマンテオ
espgaluda,エスプガルーダ
sword master story,ソードマスターストーリー
angel club,エンジェルクラブ
kira kira,キラ☆キラ
yuusha exkaiser,勇者エクスカイザー
rainbow-colored septentrion,虹色のセプテントリオン
kiss (rock band),キス（ロックバンド）
girls zombie party,ガールズゾンビパーティー
luigi's mansion: dark moon,ルイージマンション2
shin seiki inma seiden,新世紀淫魔聖伝
t-rex na kanojo,T-REXな彼女
densetsu no yuusha da-garn,伝説の勇者ダ・ガーン
neko reset (zutomayo),猫リセット
gokuto jihen,獄都事変
dilemma (vocaloid),ジレンマ
twilight (series),トワイライト
milking clinic,ミルキング・クリニック
star ocean: blue sphere,スターオーシャンブルースフィア
coco ichibanya,CoCo壱番屋
castlevania: lament of innocence,キャッスルヴァニア
onikakushi-hen,鬼隠し編
the pillows,ザ・ピロウズ
ruined king: a league of legends story,台無しにされた王：リーグ・オブ・レジェンドの物語
mizudako-chan kara wa nigerarenai!,ミズダコちゃんからは逃げられない
rune factory 2,ルーンファクトリー2
rocket girls,ロケットガール
beat saber,セイバーを倒します
mega man star force 2,流星のロックマン2
glass no kamen,ガラスの仮面
osananajimi ga zettai ni makenai lovecome,幼なじみが絶対に負けないラブコメ
gensou shoujo taisen,幻想少女大戦
kono koi ni kizuite,この恋に気づいて
toushou daimos,闘将ダイモス
purino party,Purino Party
axanael,アザナエル
regret message (vocaloid),リグレットメッセージ
sayonara no asa ni yakusoku no hana wo kazarou,さよならの朝に約束の花をかざろう
chizuru-chan kaihatsu nikki,千鶴ちゃん開発日記
nijigen dream fever (vocaloid),二次元ドリームフィーバー
hyper highspeed genius,ハイパーハイスピードジーニアス
elite beat agents,エリート・ビート・エージェント
sherlock (bbc),シャーロック（BBC）
bubuki buranki,ブブキ・ブランキ
prinny (series),プリンニー（シリーズ）
ideologue!,いでおろーぐ!
chrono clock,クロノ時計
the iconoclasts,ICONOCLASTS
noberuge,のべるげ!
hecatoncheir,ヘカトンケイル
kyou kara maou!,今日からマ王!
hg ni koisuru futari,HGに恋するふたり
nanagane educational institution,ナナガネ教育機関
xianjian qixia zhuan 7,仙剑奇侠传7
redman,レッドマン
seishun fragile,Seishun Fragile
idol revolution,あいれぼ~IDOL☆REVOLUTION~
fuguriya,ふぐり屋
goddess kiss,女神にキスを
sora no manimani,宙のまにまに
star trek: the next generation,新スタートレック
tsukipro,ツキプロ
gyaru to gyaru no yuri,ギャルとギャルの百合
kowarekake no orgel,こわれかけのオルゴール
sharin no kuni himawari no shoujo,車輪の国、向日葵の少女
purism egoist,ピュリズムエゴイスト
kamisama kazoku,神様家族
blazing souls,燃えるような魂
prinny ~ore ga shujinkou de iinsuka?~,Prinny〜Ore ga shujinkou de iinsuka？〜
manbiki jk wa mizukara ori ni hairu,万引きJKは自ら檻に入る
alice fiction,アリスフィクション
uchi no musume ni te wo dasuna!,ウチのムスメに手を出すな!
coraline,コラライン
overdrive (iosys),患部で止まってすぐ溶ける
bareteru! cocktail knights,バレてる!カクテルナイト
r4: ridge racer type 4,リッジレーサータイプ4
sotsugyou ii: neo generation,卒業II
inaka ni kaeru to yakeni natsuita kasshoku ponytail shota ga iru,田舎に帰るとやけになついた褐色ポニテショタがいる
sonic colors,ソニックカラーズ
ace combat 8,エースコンバット8
super mario 64 ds,スーパーマリオ64DS
onii-chan kiss no junbi wa mada desu ka?,お兄ちゃん、キッスの準備はまだですか?
kiss of life,キスオブライフ
zettai ryouiki sex royale!!,ぜったい猟域☆セックス・ロワイアル!!
kuroneko to majo no kyoushitsu,黒猫と魔女の教室
unison league,ユニゾンリーグ
angry video game nerd,アングリー・ビデオゲーム・ナード
luminaria pro,るみぷろ
calvin & hobbes,カルビンとホッブス
oroka na tenshi wa akuma to odoru,愚かな天使は悪魔と踊る
kamen rider battle: ganba legends,仮面ライダーバトル_ガンバレジェンズ
dempagumi,でんぱ組.inc
imasara desu ga osananajimi wo suki ni natte shimaimashita,今さらですが、幼なじみを好きになってしまいました
kao ni denai kashiwada-san to kao ni deru oota-kun,顔に出ない柏田さんと顔に出る太田君
tonari no jk ni odosarete iribitararetemasu,隣のJKに脅されて入り浸られてます
jingai kyoshitsu no ningen girai kyoshi,人外教室の人間嫌い教師
wakaba girl,わかば*ガール
midareuchi,みだれうち
elvira: mistress of the dark,エルヴァイラ
momodora: reverie under the moonlight,Momodora:月下のレクイエム
minna no iku new academy,みんなの育乳アカデミー
magical miracle metagalphose (synthesizer v),マジカル☆ミラクル☆メタギャルフォーゼ
neoki yashi no ki (vocaloid),寝起きヤシの木
fate/protoreplica,Fate/Protoreplica
pastel chime 3,パステルチャイム3
gang beasts,ギャングビースト
super doll licca-chan,スーパードールリカちゃん
smile precure! ehon no naka wa minna chiguhagu!,映画スマイルプリキュア!絵本の中はみんなチグハグ!
death march kara hajimaru isekai kyousoukyoku,デスマーチからはじまる異世界狂想曲
wonder project j2,ワンダープロジェクトJ2
konjiki no gash!! 2,金色のガッシュ!!2
lcddem,lcddem
kingdom hearts dark road,キングダムハーツダークロード
hoshiful,hoshiful
yagate kimi ni naru: saeki sayaka ni tsuite,やがて君になる_佐伯沙弥香について
hasegawa (hobby kits),株式会社ハセガワ
hellsinker,ヘルシンカー
majo wa mangetsu ni saku,魔女は満月に咲く
aneimo 2,あねいも2
kira killer (zutomayo),綺羅キラ
jungle taitei,ジャングル大帝
what in hell is bad,地獄のどこが悪い?
dokkoida,住めば都のコスモス荘
unnamed memory,アンメモ
chaban capriccio (vocaloid),茶番カプリシオ
manga nippon mukashi banashi,まんが日本昔ばなし
me:i,ミーアイ
claris (group),クラリス（グループ）
kawaii onna no ko ni kouryaku sareru no wa suki desu ka?,可愛い女の子に攻略されるのは好きですか?
inception,盗梦空间
macross flashback 2012,フラッシュバック2012
gundam battle operation code fairy,機動戦士ガンダムバトルオペレーションコードフェアリー
isekai no seikishi monogatari,異世界の聖機師物語
yuusha yoshihiko to maou no shiro,勇者ヨシヒコシリーズ
oppenheimer (movie),オッペンハイマー
magika no kenshi to basileus,魔技科の剣士と召喚魔王
the last comer,東方邪星章
villain (vocaloid),ヴィラン
reireimu,Reireimu
vivid army,ビビッドアーミー
mozilla thunderbird,だば子
beelzebub-jou no okinimesu mama.,ベルゼブブ嬢のお気に召すまま。
erect!,えれくと!
maidensnow no youkai dai-makyou,メイデンスノウの妖怪大魔境
koiken otome,恋剣乙女
little nightmares ii,リトルナイトメア2
hoshoku club,ほしょくくらぶ
visual prison,ヴィジュアルプリズン
doremifa rondo (vocaloid),ドレミファロンド
goshujin-sama to kemonomimi no shoujo meru,ご主人様と獣耳の少女メル
ikari shinji raising project,碇シンジ育成計画
syamu game,シャムゲーム
phantasy star online 2 the animation,Phantasy Star Online 2アニメーション
ten kurairakon teikoku-gun,天クライラコン帝国軍
trinity universe,トリニティユニバース
yawara a fashionable judo girl,ファッショナブルな柔道の女の子ヤワラ
angel cage,エンジェルケージ
soukoku no arterial,創刻のアテリアル
tower of dragon,タワーオブドラゴン
ogre battle,オウガバトル
michinaru hirogaru (idolmaster),みちなるひろがる
maboroshi juuhime,幻獣姫
clear (visual novel),クリア
world teacher -isekaishiki kyouiku agent-,ワールド・ティーチャー
shoujo material,Shoujo Material
josou jinja,女装神社
voice (vocaloid),声（ボーカロイド）
re cation,再生
pixiv robot wars,ピクロボ
mahou arms,マホウ腕
love cube,LOVE3_-ラヴキューブ-
lucent heart,ルーセントハート
te to te try on,試してみてください
figure 17,フィギュア17つばさ&ヒカル
gouen no soleil,鋼炎のソレイユ
battle programmer shirase,BPSバトルプログラマーシラセ
comitia 118,コミティア118
moderoid,モデロイド
canopri comic,キャノプリコミック
butterfly affection,蝶の愛情
love love princess,らぶらぶ♥プリンセス
realive,リアライブ
civilization v,シヴィライゼーションV
three little pigs,三匹の子豚
sonic the hedgehog 1,ソニック・ザ・ヘッジホッグ
sara sara sasara,さらさらささら
tensou sentai goseiger,天装戦隊ゴセイジャー
uchuu senshi baldios,宇宙戦士バルディオス
asken,あすけん
hayasaki no kuroyuri,早咲きのくろゆり
alps to kiken na mori,アルプスと危険な森
ace combat 3,エースコンバット3
imouto no seiiki,妹のセイイキ
atari,アタリ
hudson,ハドソン
the rolling stones,ローリング・ストーンズ
urashima tarou (fairy tale),浦島太郎
might and magic,マイトアンドマジック
arabian nights,アラビアンナイト
eden they were only two on the planet,エデン*
tenshi no shippo,天使のしっぽ
dragon ball online,ドラゴンボールオンライン
new super mario bros. u,NewスーパーマリオブラザーズU
otsukimi recital (vocaloid),オツキミリサイタル
sennen joyuu,千年女優
nettaigyo wa yuki ni kogareru,熱帯魚は雪に焦がれる
kenzen kanojo uruka-chan,健全彼女うるかちゃん
reen kadorer,Reen Kadorer
gunspike,ガンスパイク
aru majo ga shinu made,ある魔女が死ぬまで
karas,カラス
irem,アイレム
polygon project,ポリゴンプロジェクト
new normal,ニューノーマル
real intention,Real_Intention_~ココロのクサリ~
comitia 152,コミティア152
rujing yingxuan,如璟映琁
providence project,普罗维登
tokyo metropolitan police department,警視庁
nihon e youkoso elf-san.,日本へようこそエルフさん。
mega man & bass,ロックマン&フォルテ
the tortoise and the hare,ウサギとカメ
kyuukyoku choujin r,究極超人あ〜る
legendz,レジェンズ
mugen shinshi,夢幻紳士
yakin byoutou ni,夜勤病棟・弐
unless terminalia,アンレス・テルミナリア
gundam tekketsu no orphans urdr hunt,機動戦士ガンダム鉄血のオルフェンズウルズハント
chocobo no fushigi na dungeon,チョコボの不思議なダンジョン
digimon adventure 02: the beginning,THE_BEGINNING(デジモン映画)
hypnosis mic: alternative rap battle,ヒプマイarb
chotto ippai!,ちょっといっぱい!
children of the rune,ルーンの子供たち
angel wish,天使の願い
star wars jedi: fallen order,ジェダイ:フォールン・オーダー
okochama sensou (vocaloid),おこちゃま戦争
metallic rouge,メタリックルージュ
cherry bomb (love live!),チェリーボム(優木せつ菜)
tenshi no tamago (anime),天使のたまご
choujuushin gravion zwei,超重神グラヴィオンツヴァイ
revdol,リブドル
obake no q-tarou,オバケのQ太郎
the beast (vocaloid),獣（ボーカロイド）
detonator orgun,DETONATORオーガン
sabikui bisco,錆喰いビスコ
cutie honey universe,キューティーハニーユニバース
knight rider,ナイトライダー
layered stories zero,レイヤードストーリーズゼロ
chuuko demo koi ga shitai!,中古でも恋がしたい!
akatoki!,アカトキ！
awaken the power,力を目覚めさせます
rg veda,圣传
narcissu,ナルキッソス
star wars: the last jedi,最後のジェダイ
mofusand,モフサンド
vita sexualice,ゐた・せくすありす
x-blades,Xブレード
prunus girl,プラナス・ガール
star plus one,スタプラ!
sapphism no gensou,サフィズムの舷窓
shirokuma cafe,しろくまカフェ
usotsuki mii-kun to kowareta maa-chan,嘘つきみーくんと壊れたまーちゃん
shuriken sentai ninninger,手裏剣戦隊ニンニンジャー
teenage mutant ninja turtles (2003),新亀
tsuki to laika to nosferatu,月とライカと吸血姫
yoru ga kuru!,夜が来る!
planet with,プラネット・ウィズ
venus versus virus,ヴィーナスヴァーサスヴァイアラス
kaii shoukougun 1,Kaii Shoukougun 1
maicching machiko-sensei,まいっちんぐマチコ先生
phantasy star portable,Phantasy Star Portable
magical tale,魔法の物語
katsute mahou shoujo to aku wa tekitai shiteita,かつて魔法少女と悪は敵対していた
midori no hibi,美鳥の日々
charade maniacs,シャレードマニアクス
mister ajikko,ミスター味っ子
senpai kara me ga hanasenai to aru kaishain no nichijou,先輩から目が離せないとある会社員の日常
harukaze sensation!,春風センセーション!
arksign,arksign
kusari,クサリ
souseiki aster gate,創星紀アステルゲート
lady jewelpet,レディジュエルペット
megami magazine rx,メガミマガジンRX
tv tokyo,テレビ東京
asian kung-fu generation,アジアン・カンフー・ジェネレーション
shokei hakushu (synthesizer v),処刑拍手
akuma no odorikata (vocaloid),悪魔の踊り方
swat kats,スワットカッツ
digital monster x-evolution,ゼヴォリューション
kizuna encounter,風雲スーパータッグバトル
girls mode,ガールズモード
fc barcelona,FCバルセロナ
pokemon pocket monsters,ポケットモンスター(穴久保幸作)
stranger of paradise: final fantasy origin,ストレンジャーオブパラダイスファイナルファンタジーオリジン
okusan,おくさん
crack lack good luck,クラックラックグッドラック
wego,ウィゴー
avatar: the way of water,アバター2
book of star mythology,東方魔宝城
ironblue parade,アイアンブルー・パレード
yome sagashi ga hakadori sugite yabai.,嫁探しが捗りすぎてヤバい。
isekai meikyuu no saishinbu wo mezasou,異世界迷宮の最深部を目指そう
castlevania: circle of the moon,サークルオブザムーン
the persistence of memory,記憶の固執
"s-rank monster no ""behemoth"" dakedo neko to machigawarete elf musume no pet toshite kurashitemasu",ベヒ猫
super mario maker,スーパーマリオメーカー
watashi no shiawase na kekkon,わたしの幸せな結婚
gaming kanojo,ゲーミング彼女
koujo denka no katei kyoushi,公女殿下の家庭教師
447 records,447レコード
blue reflection ray,ブルリフR
arcana,アルカナ
thunder force,サンダーフォース
gaku ou,学☆王
fengling yuxiu,风灵玉秀
hosekisho richard-shi no nazo kantei,宝石商リチャード氏の謎鑑定
der untergang,ヒトラー~最期の12日間~
changed,兽屋之龙
pokemon quest,ポケモンクエスト
black rock shooter arcana,ブラック★ロックシューターアルカナ
choujun! choujou senpai,超巡!超条先輩
coffee talk,コーヒートーク
mirai harmony,未来ハーモニー
